object|attribute|senword
日产|设计|缺陷
日本车|null|确实不好
奇瑞a3，长安悦翔，天津一汽威志|安全，自主品牌|存在极大风险，让人担忧
奥迪|操控|让人难受
大众旗下的中高端品牌|质量|让人深思
雪佛兰|销售顾问的低级错我|让人无语
null|设计|不人性化
电镀奥迪r8|反光|厉害，容易追尾
null|提速，涡轮增压|肉
雷克萨斯、马自达|铁皮|软
奔驰e|竞争力，中期改款内饰|弱，不会有质的飞越
斯巴鲁|宣传效果|弱
奔驰宝马奥迪路虎|null|弱爆了
福特|ecu位置，后排座椅|弱智，薄的不能再薄
null|发动机|烧机油
crv|狂追奥迪|傻b
丰田|null|傻b
丰田|null|傻逼
韩国车|null|山寨车
byd比亚迪速锐|山寨|无耻
小4|耐撞程度|伤痕累累
别克|营销|上当
奇瑞|null|上进一点
大众|null|没好感
tt|发动机|烧机油
奥迪车|发动机|烧机油
奥迪|发动机|烧机油
奥迪q5|发动机|烧机油
大众系|发动机|烧机油
德系车|油耗|油耗过量
奔驰|涡轮|渗油
奥迪|涡轮|烧机油
宝马|涡轮|还没检验
rs5|推背感|稍弱
null|分量|少
东莞卖车|优惠幅度|少
日系车|零件|少了零件
日系车|电瓶容量|少了一半
奔驰|售后|深似海
大众|油耗|烧汽油，烧机油
奇瑞|设计|挑战了审美底线
大众|前脸设计|审美疲劳
null|发动机|渗机油
1系、3系|null|生锈
宝马|null|生锈
宝马118i|null|生锈
新3系|座椅架|生锈
安信丰田|null|声讨
丰田|null|失败
比亚迪速锐|广告|失败
大众|品牌定位|失败
宝马奔驰奥迪|null|失了光彩
新宝马3系|视频|失落
null|操控，安全性|失去了
null|null|失望
大众|null|失望
雪佛兰4s店|null|失望
奔驰|售后，操控，性价比|不如，失望
雪佛兰4s店|null|失望之极
null|品牌影响力|实在太差
奥迪a3|null|屎
奔驰宝马奥迪|售后服务|屎一样
奔驰1.8t|涡轮漏油|是必然的，是常态的
奥迪|缺点|数不清
雷克萨斯|品牌|衰败
奔驰|null|水土不服
多媒体中控台|null|死机
null|显示屏，倒车雷达|死机，误报
比亚迪|车的质量|垃圾，不彻底改革
汽车工业|null|死循环
宝马|销售员|素质低下
本田丰田|null|算什么
丰田雅力士|事故率|排在第一
大众奥迪|null|太残
永达福特|维修技术|太差
宝马|null|太好
自行车|null|太次
q5|大小|太大
迪奥|档次|太低
null|性价比|太低
奥迪|性价比|太低
奥迪a4|性价比|太低
null|槽点|太多
帕萨特|气管|太多
比亚迪遥控汽车|营销手段|太恶心了
这材质|材质保养|太费劲
宝马|null|太小三
奔驰|null|太嚣张
奥迪|null|太腐败
奥迪旧车|故障率|太高
高尔夫|利润|太高
通用的v8引擎|排量，税收|太高，交不起
null|刹车|太高了
东风本田|业务|太古寒
丰田|价格，厂商|太贵，日本产的
劳斯莱斯|价格|太贵
悍马|油耗|太耗油
奥迪|null|太厚实
奥迪|null|太旧
2.5t版本|动力|太可怕
no.7kia|null|太烂
日本车|车皮|太烂
mg3|null|太冷门
奥迪|内饰，车门|太难看
2.0d-link奥迪tt|外形|太女人，不够man
福特|设计|太糗
大众的车|null|太死板
q3|空间|太小
a6|空间|太小
奔驰c|空间|太小
奥迪|轮毂|太小
q3|空间|太小了
沃尔沃|空间|太小气，不够大
a4|发动机|犹豫
byd|null|byd
奔驰，宝马，奥迪|成绩|不如意
奥迪a1|文化情结|缺了点
大众|null|比不上奥迪
别克|null|不能接受
奥迪|null|null
奥迪a6|车风车德|null
自主品牌|尺寸，品质，附加值|提高
奔驰|null|彻底靠边站
城市风格家轿|策略|移植
三星lg，现代起亚|null|韩国出了
翼虎suv|null|推
新款蒙迪欧|null|推
奥迪|null |肿么没有
奥迪|null|不喜
某车|增压发动机，全焊接底盘，速度|不死人才是怪事
混合动力车|混动，电池，限制条件|相当多
新奥迪a4l|精准操控，加长版，主打|到底是想怎么卖
丰田|车型|比不上
奔驰，奥迪|时尚|大钱花在时尚上
进口奥迪a8|级别|霸气外露
起亚k5|外形，性能|中看不中用
这款|null|最丑的，不看好
null|档次|不是一个档次
奥迪|null |不喜欢
奥迪|驾驶体验、动力、顿错|差点
吉利、比亚迪、奇瑞|null|差远了
吉利、比亚迪、奇瑞|null|差远了
null|离合|超高
沃尔沃|发动机|成熟
q7|null|浮夸
q3|null |水
本田|null |null
宝马x1|价格、加速性|null
拖拉机|越野性能、价格|null
奔驰|null |土豪气
奥迪|null|低调
宝马|null|喜欢的车子不是
奔驰|null |喜欢的车子不是
奥迪|null |喜欢的车子不是
雷克萨斯|null |喜欢的车子是
null|外形|杯具
宝马x3|null |吃灰
高尔夫6、cc、b7|null |不太喜欢
高6|更长更宽|加强
雅阁8|造型|动感紧凑
奔驰|null |独有
奥迪|null |独有
迈腾|轮胎|翻新、喜欢、低对大众的信赖
科鲁兹|null|费油
奥迪、宝马|null|浮云
福特|销售量|惊人、墨守成规
通用|null |墨守成规、赶超
丰田维修团队|低效|低效
宝马x1|内饰、价钱|钢性、不能满足
大众|车价|高
奥迪|车价|高
奔驰|车价|高
宝马|车价|高
保时捷|车价|高
大众|装配精度|高
雷克萨斯|价|内幕
德系benz|null|高端
bmw|null |高端
雷克萨斯|品牌、性价比、售价|高端
法拉利|驾驶快感|高贵
法拉利|驾驶快感|高贵
奥迪|null|更好的选择
新cr-v|座椅|更舒适
null|前驱|怪胎
本田|null|冠军
日系车|做工|曾
奥迪|质感|还需努力
别克encore|null|憨厚
奔驰|豪贵|豪贵
别摸我|劲力|劲力
奥迪|null|一致力
宝马|null |豪华
奔驰|null |稳态
a8|好看|小气
null|技术|很成熟
马六|降价|降价
迈腾新车|块头|惊人
宝马|做工|粗糙
别克gl8|发动机|开锅
眼镜蛇跑车|速度|快
q5|脸谱|老气
一汽、上汽|品牌|老字号
别克|烧油|厉害
比亚迪|车身尾部|亮眼
null|颜色|蛮漂亮
奥迪|null|平庸
民企的|null|气派
帕萨特|普通倒车影像系统，停车线|传统，失真，变形，固定静态
奥迪s5|外观内饰，动力系统|弱爆了
minicooper|头灯设计|所缺乏的锐利与霸气
奥迪|null|失去信心
雷克萨斯es|null|失去信心
1系|null|无爱
奥迪|null|算个鸟
奥迪|选配内饰|太死板了
宝马奔驰|null|太张扬
奥迪|null|宝马别向奥迪靠拢就行
福特|null|偷偷摸摸
奥迪|内饰|土
新迈腾，新帕萨特，新郎逸，新宝来|前脸|完全一个样
奥迪|null|喜欢
奔驰|null|不喜欢
奥迪，宝马，保时捷|null|暴发户，爱玩爱闹，死要面子
铃木|null|不好看
红旗|null |不喜欢
t34拖拉机|null|null
宝马奥迪|null|街车，全部暗淡
某品牌|品牌|不喜欢
一汽大众|前脸|制服化
丰田坦途|车型|null
奇瑞，比亚迪，吉利|null|严重
长安福特|null|null
兰博基尼|null|不喜欢
三菱4s店|null|砸
你的车|null|太不够档次
凯旋|底盘，车身|岂有不输之理
null|造型|null
媒体|业务水平|null
座位|格局|独特
suv|路感、油耗、空间| 差、大、小
奔驰|null|null
奥迪新a8l|设计|雷同
奔驰|null|不喜欢
