object|attribute|senword
奥迪1，8|车身，排量|重，小
迈腾|感觉|翻版
奥迪|外型|不是我喜欢，不失lol
奔驰|null|不喜欢
奥迪|null |肿么没有
奔驰|null|不喜欢
null|价格|贵
奥迪|null|不喜欢
a6l|null|不喜欢
奥迪|动力|小
奥迪|心脏|不好
雪佛兰皮卡|创意|浪费
no，7kia|null|太烂
轮胎|进口|不适用
奥迪|null|不喜欢
奔驰，奥迪|null|null
a6|前脸|不喜欢
6gc|配置|坑爹
奥迪|null |不怎么喜欢
奥迪奔驰|null|低
别克|null|不能接受
科鲁兹|null|费油
马六|降价|降价
奥迪|null|太厚实
捷达|null|null
奥迪|选配内饰|太死板了
奥迪，宝马|null|浮云
奔驰公司|null|真心的抠
奥迪小改款q5|改款|改得很纠结
安卓|系统生态圈建设，整体操作体验，工业设计，应用质量|还需努力
奥迪|null|看起来这么不舒服
a4l2，0t|价格|null 
smart|外观|太过迷你
volvo的s80l|安全|不如以往强调
小众车|保值率|低
奥迪|null|null
丰田坦途|车型|null
途观|座椅空间|会卡住啤酒肚
宝马minisuv|null|极力反对
奔驰|服务，质量|差
ml/gl|操控|最一般
雷诺|null|烂
奥迪|null|不是什么好货
q5|null|不是一个等级
null|驾驭感|不足
null|视线|差，低且窄
a5|方向，路感指向|偏轻，没法比
奥迪|刹车|刹车灵敏快后段迟缓
奥迪|缺点|数不清
tt|null|去死吧，没那么霸气
现款的奥迪|尾部|不太喜欢
本田雅阁|发动机，四轮轴承，氧传感器|定期清洗，易损件，比较差
奥迪q5|发动机|烧机油
揽胜，X6，桑塔纳|外观|难看
宝马|外型|不够大气
a1|外观|远远没有那么丰富
国产a6l|null|保持无语
s5|风格|不太喜欢
奥迪|null|不要
宝马|null|讨厌
保时捷|价格|买不起
宝马|舒适性|不舒服
上一代a4l|和新中网相比|null
mba奔驰宝马奥迪|外表|太大众了
大众|内饰，价格|全塑料，加价
大众|安全性|不行
奔驰|奔驰|价格
雅阁|驾驶感受|不喜欢
奥迪|烧机油|缺点
null|漏风，隔音，油耗|不佳，偏高
a4|发动机|犹豫
奥迪|null|好不到哪里去
沃尔沃s80|车型|嫌弃它小
路虎|发动机|有点那个啥
电镀奥迪r8|反光|厉害，容易追尾
null|仪表盘，操控区域|可以做得更美
null|提速，涡轮增压|肉
null|刹车|abs，不敢猛刹
车|内饰|太死板，不符合年轻时尚
新a8l|null|差的很远
null|动力|垫底
s60|安全系数|null
rs5|推背感|稍弱
奥迪|玻璃颜色|不喜欢
揽胜|油耗|饭桶
车|模样|不喜欢
雷克萨斯|null|讨厌
宝马奔驰|价格|买不起
宝马6系|null|null
q5|大小|太大
q3|市场|灰头土脸
q3|空间|小的不能再小
奥迪|价格|null
a4|null|被秒杀
奥迪q5|起步|超级肉，不喜欢
奥迪q5|null|鸡肋
大众|车系|看不起
宝马x1|内部空间|小
奥迪|这招|败招，不高级
奥迪|驾驶体验，动力，顿错|差点
奥迪|null|想多了
奥迪r8|粉色|受不了
大众|空间，空调，内饰|不够大，不够细腻，不太好
新a6|前大灯|不如老款霸气
奥迪a7|外型|既不显大气，又无霸气，看上去倒有些憋气
三星|null|null
思域|车内高度|不够
奥迪|车身|嘴硬
宝马|null|过敏
新宝马3系|视频|失落
a1|外形|不敢恭维
奔驰宝马|null|贵
奥迪|保养成本|高
途观|性价比|null
奥迪|油价·|逼急了
宝马|手刹设计|不喜欢，有点土
a4|保养周期|没优势
320li|价格|贵
a6l|外观|不认同
奥迪|内饰|恶心
奥迪q7|null|小儿科
bmw|配置|坑爹
奥迪|品牌价值，性价比|弱于，还是不错的
polo|个小能装|小
宝马|质量，市场竞争力|削弱
rs5|车身结构的强度|null
null|原地打方向盘|很重
audi|价格|贵
新奥拓|制动性能|乱撞人
null|气囊|摆设
大众奥迪|质量|保障不了
奔驰|null|c级
a4|油门，车噪|暴力，打了很多
奥迪|外形|大众脸
奥迪r8|hellokitty涂装粉红色|好贵，买不起
奥迪|操控感受|不及
钣金|内配做工，座椅做工|不够精致
a6avant|车尾，外观|怪怪的，过于霸气
丰田凯美瑞|null|不会当做豪华车
奥迪a6|车太窄|太窄
a1|价格|价格贵，性能树
拖拉机|越野性能，价格|null
捷达|null|淘汰
lexus|在中国的发展|不如意
标30fsi|排量|恬不知耻
奔驰宝马奥迪|null|装逼俗
奥迪|质量|差劲
奔驰|null|不怎么好
悍马|油耗|太耗油
劳斯莱斯|价格|太贵
保时捷|null|没用
奥迪，奔驰|导航配置|超级旧
奥迪|价格，油耗，保养|sb
车|性能|没看
null|价格|贵
保险杠|质量|null
奥迪|保养价格|高
日系豪华品牌们|价格，宣传|不给力
c180|null|低端
e系|设计师|null
奔驰c|空间|太小
null|外形|杯具
双星|质量和做工|差
一汽奥迪|工作人员|举止野蛮，言语蛮横，态度差
大众|口碑，发动机|不佳，故障很多
minicooper|头灯设计|所缺乏的锐利与霸气
奥迪|null|算个鸟
null|舒适|欠缺
轮胎|轮胎|出问题
发动机|发动机|出问题
null|喇叭，驾驶习惯|不好
奔驰|销售|不适合在中国销售
q5|脸谱|老气
奥迪|质感|还需努力
奥迪|null|不爽
奔驰|后座空间|坑爹
宝马|优惠|抠
整车|噪音|比较大
null|刹车|偏硬
大众|油耗|烧汽油，烧机油
奥迪a8l|价格|不买
黄金车|磨损|有钱烧得起
a6l和a8l|霸气|缺少
迈腾|null|不够好
奥迪新a8l|设计|雷同
通用suv|suv市场|短板
凯迪拉克|地位|边缘，差距越来越远
奥迪|室内空间，人流流动|太小了点，不太合理
日产楼兰|定价|高
null|品牌|差距
null|服务|垃圾
奥迪|服务态度|不敢恭维
奥迪q3|操纵性，实用性|比不上，不着边儿
奔驰|保养价格|很致命
2011款的a4l豪华版|蓝牙|太对不起
奥迪|null|坑爹
奥迪a4|发动机|不如
宝马|配件质量|不会到位
奥迪|轮毂|太小
奥迪|null|无耻
q7|外形|臃肿
宝马6系|定位|有点高
650i|售价|高
null|座椅舒适度|不足
新车|null|真好看
吉利|安全差距|无视
奔驰|服务|差
国产车|质量，性能|不好
null|定价|偏高
奥迪|定价|不厚道
s350|null|无兴趣
宝马|配置|差
奥迪|null|失去信心
null|售后|不负责任
帕萨特|气管|太多
null|维修，气管寿命|不方便，不长
null|发动机，车重对低速加速的影响|偏高转，负担
保时捷宝马|null|不行
奥迪a4l|刹车，油门，车头|差，重，太重
奥迪s5|外观内饰，动力系统|弱爆了
大众车|null|不厚道
奥迪|null|不给力
null|刹车，高级感|震动和前倾，减少
null|减震，舒适度|硬，不足
null|升挡，变速|过快，不稳
null|中控台布局造型|陈旧
